"file","sha256","bytes","create_tables","alter_tables","functions","views","triggers","policies","references","public_calls","grants","drops","do_blocks","security_definer","set_search_path","transaction_begin","transaction_commit"
"202606030001_projetos_01_tabela_projetos.sql","5db8df7e5fa0b61e2932e4d5c8eed735db431fcdafc8077b5afde80ad5ebfe3b","1704","projetos","","","","","","auth;clientes;empresas","clientes;empresas;projetos","0","0","0","False","False","False","False"
"202606030002_projetos_02_tabela_itens.sql","5d51a4f4369464ddaa25e17becf155878c1eed418944b57d14b5e62b5b99c7ea","1283","projeto_itens","","","","","","auth;empresas;itens_industriais;projetos","empresas;itens_industriais;projeto_itens;projetos","0","0","0","False","False","False","False"
"202606030003_projetos_03_rls_tenant_soft_delete.sql","9f78ff648de86358805cb88cf6ce3b9e616a3c3b27257c0e706b982a6a925124","1902","","projeto_itens;projetos","","","set_projeto_itens_updated_at;set_projetos_updated_at","projeto_itens_delete_blocked;projeto_itens_insert_tenant;projeto_itens_select_tenant;projeto_itens_update_tenant;projetos_delete_blocked;projetos_insert_tenant;projetos_select_tenant;projetos_update_tenant","","empresa_atual_id;set_updated_at","0","0","0","False","False","False","False"
"202606030004_projetos_04_indices_performance.sql","63b4a21a1e05eb1bb096e6d2e38d2b2830649b8e00b98805e86ccddf3aa16a77","1018","","","","","","","","projeto_itens;projetos","0","0","0","False","False","False","False"
"202606030005_configuracoes_numeracao.sql","c8161b8b9614d1c98ee94ed2231f2e072782c23c376c5e0aa48424bfe207249d","2428","numeracao_configuracoes","numeracao_configuracoes","","","set_numeracao_configuracoes_updated_at","numeracao_configuracoes_delete_blocked;numeracao_configuracoes_insert_tenant;numeracao_configuracoes_select_tenant;numeracao_configuracoes_update_tenant","auth;empresas","empresa_atual_id;empresas;numeracao_configuracoes;set_updated_at","0","0","0","False","False","False","False"
"202606030006_configuracoes_producao.sql","98e6c4dcec78e93f1c68413807bed9a8ab8f5e27cf05d89e05c00d689de30cdc","2826","producao_configuracoes","producao_configuracoes","","","set_producao_configuracoes_updated_at","producao_configuracoes_delete_blocked;producao_configuracoes_insert_tenant;producao_configuracoes_select_tenant;producao_configuracoes_update_tenant","auth;empresas","empresa_atual_id;empresas;producao_configuracoes;set_updated_at","0","0","0","False","False","False","False"
"202606040001_estoque_01_materias_primas.sql","1967ee6f5c15e991da13f4a525a600d22673de1ed96e2b2bc242460e62c30efb","1127","materias_primas","","","","","","auth;empresas","empresas;materias_primas","0","0","0","False","False","False","False"
"202606040002_estoque_02_saldos_movimentacoes.sql","fabb1ab88303e01241c44d2f1ead1795209cf729f0f23e60b3ec60d8a904ae18","2099","estoque_movimentacoes;estoque_saldos","","","","","","auth;empresas;materias_primas;projetos","empresas;estoque_movimentacoes;estoque_saldos;materias_primas;projetos","0","0","0","False","False","False","False"
"202606040003_estoque_03_requisicoes_compra.sql","7da546aa55cd5c276943ee7eeae88683f230cc83aecd6bf935a8089745cd87b6","2302","requisicao_compra_itens;requisicoes_compra","","","","","","auth;empresas;materias_primas;projetos;requisicoes_compra","empresas;materias_primas;projetos;requisicao_compra_itens;requisicoes_compra","0","0","0","False","False","False","False"
"202606040004_estoque_04_triggers_rls_base.sql","adb202b422672d68841e80102ea72d366e942d06605a9f0a0967891b5e41edd7","2338","","estoque_movimentacoes;estoque_saldos;materias_primas;requisicao_compra_itens;requisicoes_compra","","","set_estoque_saldos_updated_at;set_materias_primas_updated_at;set_requisicao_compra_itens_updated_at;set_requisicoes_compra_updated_at","estoque_saldos_delete_blocked;estoque_saldos_insert_tenant;estoque_saldos_select_tenant;estoque_saldos_update_tenant;materias_primas_delete_blocked;materias_primas_insert_tenant;materias_primas_select_tenant;materias_primas_update_tenant","","empresa_atual_id;set_updated_at","0","0","0","False","False","False","False"
"202606040005_estoque_05_policies_requisicoes.sql","198841d4b81e5f7c8f70bba7a9b88efde9cb95c6a5fb0d0b38b905ba9aca2fe5","2120","","","","","","estoque_movimentacoes_delete_blocked;estoque_movimentacoes_insert_tenant;estoque_movimentacoes_select_tenant;estoque_movimentacoes_update_blocked;requisicao_compra_itens_delete_blocked;requisicao_compra_itens_insert_tenant;requisicao_compra_itens_select_tenant;requisicao_compra_itens_update_tenant;requisicoes_compra_delete_blocked;requisicoes_compra_insert_tenant;requisicoes_compra_select_tenant;requisicoes_compra_update_tenant","","empresa_atual_id","0","0","0","False","False","False","False"
"202606040006_estoque_06_indices.sql","368aeb78c66b157383d6e7325a57d087d348ae298fd4269142c73f19d620e76e","1431","","","","","","","","estoque_movimentacoes;estoque_saldos;materias_primas;requisicao_compra_itens;requisicoes_compra","0","0","0","False","False","False","False"
"202606040007_estoque_07_consumos_internos.sql","9de8adc6c8acf60f6dcfeec58c7d7284a1ad81f256f984708ffe14a7b970f5f1","3450","consumos_internos","consumos_internos","","","set_consumos_internos_updated_at","consumos_internos_delete_blocked;consumos_internos_insert_tenant;consumos_internos_select_tenant;consumos_internos_update_tenant","auth;empresas;estoque_movimentacoes;materias_primas;projetos","consumos_internos;empresa_atual_id;empresas;estoque_movimentacoes;materias_primas;projetos;set_updated_at","0","0","0","False","False","False","False"
"202606050001_consumos_internos_02_funcao.sql","267d30c2591168a778f61dbddd1116e5a43af347cbea1dc64e1dc1d5fc10e0d3","2753","","","registrar_consumo_interno","","","","","consumos_internos;empresa_atual_id;estoque_movimentacoes;registrar_consumo_interno","0","0","0","False","False","False","False"
"202606050002_consumos_internos_03_comentario_funcao.sql","6339110a39eb01c00f9a6dd2594f8191f5929150a13bace33abf407e04d2ac80","310","","","","","","","","registrar_consumo_interno","0","0","0","False","False","False","False"
"202606050003_requisicoes_compra_02_funcao.sql","ccb602c3f24c22255a6b661dadb1739d6f59a5e8ef895799ae6f20c2cb33c076","1605","","","registrar_requisicao_compra_material","","","","","empresa_atual_id;registrar_requisicao_compra_material;requisicao_compra_itens;requisicoes_compra","0","0","0","False","False","False","False"
"202606050004_decisao_material_01_funcao.sql","9cf33dc1875821318642bd9f9f2bb7471695ffc9a3ce5caf9f5af624db83c3de","2359","","","processar_necessidade_material","","","","","empresa_atual_id;processar_necessidade_material;registrar_consumo_interno;registrar_requisicao_compra_material","0","0","0","False","False","False","False"
"202606050005_decisao_material_02_comentarios.sql","c3522f16394efd95611a9efb4bc18110463c5f5a942018cbdd44ebf3f6ad1190","526","","","","","","","","processar_necessidade_material;registrar_requisicao_compra_material","0","0","0","False","False","False","False"
"202606050006_decisao_material_03_view_operacional.sql","271b3f7219a3a9b3101004abe472865c9d6ccdc974259460054e964edb800ac0","2471","","","","vw_decisao_material_of","","","","","0","0","0","False","False","False","False"
"202606050007_decisao_material_04_comentario_view.sql","b11c8b9985b960bac99f056d6bdca594c993f9e3beccbaf8779055d049edc597","238","","","","","","","","","0","0","0","False","False","False","False"
"202606050008_planejamento_compras_01_tabelas.sql","db5e9a247840ed344d7bc159a71e2ffdfd348efeba2a39764c399976ae4e3098","2450","planejamento_compra_origens;planejamentos_compra","","","","","","auth;empresas;materias_primas;planejamentos_compra;projetos;requisicao_compra_itens;requisicoes_compra","empresas;materias_primas;planejamento_compra_origens;planejamentos_compra;projetos;requisicao_compra_itens;requisicoes_compra","0","0","0","False","False","False","False"
