table_schema,table_name,ordinal_position,column_name,data_type,udt_name,is_nullable,column_default,is_identity,is_generated,collation_name
public,bom_itens,1,id,uuid,uuid,NO,gen_random_uuid(),NO,NEVER,
public,bom_itens,2,bom_id,uuid,uuid,NO,,NO,NEVER,
public,bom_itens,3,empresa_id,uuid,uuid,NO,,NO,NEVER,
public,bom_itens,4,materia_prima_id,uuid,uuid,YES,,NO,NEVER,
public,bom_itens,5,componente_produto_id,uuid,uuid,YES,,NO,NEVER,
public,bom_itens,6,componente_tipo,text,text,NO,'materia_prima'::text,NO,NEVER,
public,bom_itens,7,quantidade,numeric,numeric,NO,,NO,NEVER,
public,bom_itens,8,unidade,text,text,NO,,NO,NEVER,
public,bom_itens,9,nivel,smallint,int2,NO,1,NO,NEVER,
public,bom_itens,10,ordem,smallint,int2,NO,1,NO,NEVER,
public,bom_itens,11,observacoes,text,text,YES,,NO,NEVER,
public,bom_itens,12,created_at,timestamp with time zone,timestamptz,NO,now(),NO,NEVER,
public,bom_itens,13,updated_at,timestamp with time zone,timestamptz,NO,now(),NO,NEVER,
public,bom_itens,14,created_by,uuid,uuid,NO,,NO,NEVER,
public,bom_itens,15,ativo,boolean,bool,NO,true,NO,NEVER,
public,bom_itens,16,deleted_at,timestamp with time zone,timestamptz,YES,,NO,NEVER,
public,bom_itens,17,deleted_by,uuid,uuid,YES,,NO,NEVER,
public,boms,1,id,uuid,uuid,NO,gen_random_uuid(),NO,NEVER,
public,boms,2,empresa_id,uuid,uuid,NO,,NO,NEVER,
public,boms,3,produto_id,uuid,uuid,NO,,NO,NEVER,
public,boms,4,versao,text,text,NO,'A'::text,NO,NEVER,
public,boms,5,descricao,text,text,YES,,NO,NEVER,
public,boms,6,status,text,text,NO,'ativo'::text,NO,NEVER,
public,boms,7,data_validade,date,date,YES,,NO,NEVER,
public,boms,8,created_at,timestamp with time zone,timestamptz,NO,now(),NO,NEVER,
public,boms,9,updated_at,timestamp with time zone,timestamptz,NO,now(),NO,NEVER,
public,boms,10,created_by,uuid,uuid,NO,,NO,NEVER,
public,boms,11,ativo,boolean,bool,NO,true,NO,NEVER,
public,boms,12,deleted_at,timestamp with time zone,timestamptz,YES,,NO,NEVER,
public,boms,13,deleted_by,uuid,uuid,YES,,NO,NEVER,
public,clientes,1,id,uuid,uuid,NO,gen_random_uuid(),NO,NEVER,
public,clientes,2,nome,text,text,NO,,NO,NEVER,
public,clientes,3,empresa,text,text,YES,,NO,NEVER,
public,clientes,4,telefone,text,text,YES,,NO,NEVER,
public,clientes,5,email,text,text,YES,,NO,NEVER,
public,clientes,6,cnpj,text,text,YES,,NO,NEVER,
public,clientes,7,cidade,text,text,YES,,NO,NEVER,
public,clientes,8,observacoes,text,text,YES,,NO,NEVER,
public,clientes,9,created_at,timestamp with time zone,timestamptz,NO,now(),NO,NEVER,
public,clientes,10,created_by,uuid,uuid,NO,,NO,NEVER,
public,clientes,11,empresa_id,uuid,uuid,NO,,NO,NEVER,
public,clientes,12,ativo,boolean,bool,NO,true,NO,NEVER,
public,clientes,13,updated_at,timestamp with time zone,timestamptz,NO,now(),NO,NEVER,
public,clientes,14,deleted_at,timestamp with time zone,timestamptz,YES,,NO,NEVER,
public,clientes,15,deleted_by,uuid,uuid,YES,,NO,NEVER,
public,clientes,16,inscricao_estadual,text,text,YES,,NO,NEVER,
public,clientes,17,inscricao_municipal,text,text,YES,,NO,NEVER,
public,clientes,18,telefone_fiscal,text,text,YES,,NO,NEVER,
public,clientes,19,email_fiscal,text,text,YES,,NO,NEVER,
public,clientes,20,site,text,text,YES,,NO,NEVER,
public,clientes,21,estado,text,text,YES,,NO,NEVER,
public,clientes,22,segmento,text,text,YES,,NO,NEVER,
public,clientes,23,endereco,text,text,YES,,NO,NEVER,
public,clientes,24,numero,text,text,YES,,NO,NEVER,
public,clientes,25,bairro,text,text,YES,,NO,NEVER,
public,clientes,26,cep,text,text,YES,,NO,NEVER,
public,clientes,27,complemento,text,text,YES,,NO,NEVER,
public,clientes_ativos,1,id,uuid,uuid,YES,,NO,NEVER,
public,clientes_ativos,2,empresa_id,uuid,uuid,YES,,NO,NEVER,
public,clientes_ativos,3,nome,text,text,YES,,NO,NEVER,
public,clientes_ativos,4,empresa,text,text,YES,,NO,NEVER,
public,clientes_ativos,5,telefone,text,text,YES,,NO,NEVER,
public,clientes_ativos,6,email,text,text,YES,,NO,NEVER,
public,clientes_ativos,7,cnpj,text,text,YES,,NO,NEVER,
public,clientes_ativos,8,cidade,text,text,YES,,NO,NEVER,
public,clientes_ativos,9,observacoes,text,text,YES,,NO,NEVER,
