schema_name,table_name,constraint_name,constraint_type,validated,definition
public,bom_itens,bom_itens_ativo_not_null,n,t,NOT NULL ativo
public,bom_itens,bom_itens_bom_id_fkey,f,t,FOREIGN KEY (bom_id) REFERENCES boms(id) ON DELETE CASCADE
public,bom_itens,bom_itens_bom_id_not_null,n,t,NOT NULL bom_id
public,bom_itens,bom_itens_componente_produto_id_fkey,f,t,FOREIGN KEY (componente_produto_id) REFERENCES itens_industriais(id)
public,bom_itens,bom_itens_componente_tipo_not_null,n,t,NOT NULL componente_tipo
public,bom_itens,bom_itens_created_at_not_null,n,t,NOT NULL created_at
public,bom_itens,bom_itens_created_by_fkey,f,t,FOREIGN KEY (created_by) REFERENCES auth.users(id)
public,bom_itens,bom_itens_created_by_not_null,n,t,NOT NULL created_by
public,bom_itens,bom_itens_deleted_by_fkey,f,t,FOREIGN KEY (deleted_by) REFERENCES auth.users(id)
public,bom_itens,bom_itens_empresa_id_fkey,f,t,FOREIGN KEY (empresa_id) REFERENCES empresas(id)
public,bom_itens,bom_itens_empresa_id_not_null,n,t,NOT NULL empresa_id
public,bom_itens,bom_itens_id_not_null,n,t,NOT NULL id
public,bom_itens,bom_itens_materia_prima_id_fkey,f,t,FOREIGN KEY (materia_prima_id) REFERENCES materias_primas(id)
public,bom_itens,bom_itens_nivel_not_null,n,t,NOT NULL nivel
public,bom_itens,bom_itens_ordem_not_null,n,t,NOT NULL ordem
public,bom_itens,bom_itens_pkey,p,t,PRIMARY KEY (id)
public,bom_itens,bom_itens_quantidade_chk,c,t,CHECK (quantidade > 0::numeric)
public,bom_itens,bom_itens_quantidade_not_null,n,t,NOT NULL quantidade
public,bom_itens,bom_itens_referencia_chk,c,t,CHECK (componente_tipo = 'materia_prima'::text AND materia_prima_id IS NOT NULL AND componente_produto_id IS NULL OR componente_tipo = 'subconjunto'::text AND componente_produto_id IS NOT NULL AND materia_prima_id IS NULL)
public,bom_itens,bom_itens_tipo_chk,c,t,"CHECK (componente_tipo = ANY (ARRAY['materia_prima'::text, 'subconjunto'::text]))"
public,bom_itens,bom_itens_unidade_chk,c,t,"CHECK (unidade = ANY (ARRAY['kg'::text, 'metro'::text, 'barra'::text, 'chapa'::text, 'peca'::text]))"
public,bom_itens,bom_itens_unidade_not_null,n,t,NOT NULL unidade
public,bom_itens,bom_itens_updated_at_not_null,n,t,NOT NULL updated_at
public,boms,boms_ativo_not_null,n,t,NOT NULL ativo
public,boms,boms_created_at_not_null,n,t,NOT NULL created_at
public,boms,boms_created_by_fkey,f,t,FOREIGN KEY (created_by) REFERENCES auth.users(id)
public,boms,boms_created_by_not_null,n,t,NOT NULL created_by
public,boms,boms_deleted_by_fkey,f,t,FOREIGN KEY (deleted_by) REFERENCES auth.users(id)
public,boms,boms_empresa_id_fkey,f,t,FOREIGN KEY (empresa_id) REFERENCES empresas(id)
public,boms,boms_empresa_id_not_null,n,t,NOT NULL empresa_id
public,boms,boms_id_not_null,n,t,NOT NULL id
public,boms,boms_pkey,p,t,PRIMARY KEY (id)
public,boms,boms_produto_id_fkey,f,t,FOREIGN KEY (produto_id) REFERENCES itens_industriais(id)
public,boms,boms_produto_id_not_null,n,t,NOT NULL produto_id
public,boms,boms_produto_versao_uniq,u,t,"UNIQUE (empresa_id, produto_id, versao)"
public,boms,boms_status_chk,c,t,"CHECK (status = ANY (ARRAY['ativo'::text, 'inativo'::text, 'rascunho'::text]))"
public,boms,boms_status_not_null,n,t,NOT NULL status
public,boms,boms_updated_at_not_null,n,t,NOT NULL updated_at
public,boms,boms_versao_not_null,n,t,NOT NULL versao
public,clientes,clientes_ativo_not_null,n,t,NOT NULL ativo
public,clientes,clientes_created_at_not_null,n,t,NOT NULL created_at
public,clientes,clientes_created_by_fkey,f,t,FOREIGN KEY (created_by) REFERENCES auth.users(id) ON DELETE RESTRICT
public,clientes,clientes_created_by_not_null,n,t,NOT NULL created_by
public,clientes,clientes_deleted_by_fkey,f,t,FOREIGN KEY (deleted_by) REFERENCES auth.users(id) ON DELETE SET NULL
public,clientes,clientes_empresa_id_fkey,f,t,FOREIGN KEY (empresa_id) REFERENCES empresas(id) ON DELETE RESTRICT
public,clientes,clientes_empresa_id_not_null,n,t,NOT NULL empresa_id
public,clientes,clientes_id_not_null,n,t,NOT NULL id
public,clientes,clientes_nome_not_null,n,t,NOT NULL nome
