schemaname,tablename,policyname,permissive,roles,cmd,qual,with_check
public,clientes,admins podem editar clientes,PERMISSIVE,{authenticated},UPDATE,usuario_e_admin(),usuario_e_admin()
public,clientes,admins podem excluir clientes,PERMISSIVE,{authenticated},DELETE,usuario_e_admin(),
public,clientes,usuarios autenticados podem criar clientes,PERMISSIVE,{authenticated},INSERT,,(created_by = auth.uid())
public,clientes,usuarios autenticados podem visualizar clientes,PERMISSIVE,{authenticated},SELECT,true,
public,consumos_internos,consumos_internos_delete_blocked,PERMISSIVE,{public},DELETE,false,
public,consumos_internos,consumos_internos_insert_tenant,PERMISSIVE,{public},INSERT,,(empresa_id = empresa_atual_id())
public,consumos_internos,consumos_internos_select_tenant,PERMISSIVE,{public},SELECT,((empresa_id = empresa_atual_id()) AND (ativo = true) AND (deleted_at IS NULL)),
public,consumos_internos,consumos_internos_update_tenant,PERMISSIVE,{public},UPDATE,((empresa_id = empresa_atual_id()) AND (ativo = true) AND (deleted_at IS NULL)),(empresa_id = empresa_atual_id())
public,credenciais,Usuarios atualizam suas credenciais,PERMISSIVE,{authenticated},UPDATE,((usuario_responsavel = auth.uid()) OR usuario_e_admin()),((usuario_responsavel = auth.uid()) OR usuario_e_admin())
public,credenciais,Usuarios criam credenciais para si,PERMISSIVE,{authenticated},INSERT,,((usuario_responsavel = auth.uid()) OR usuario_e_admin())
public,credenciais,Usuarios removem suas credenciais,PERMISSIVE,{authenticated},DELETE,((usuario_responsavel = auth.uid()) OR usuario_e_admin()),
public,credenciais,Usuarios veem credenciais sob responsabilidade,PERMISSIVE,{authenticated},SELECT,((usuario_responsavel = auth.uid()) OR usuario_e_admin()),
public,empresas,nexotfe empresas select propria empresa,PERMISSIVE,{authenticated},SELECT,(id = empresa_atual_id()),
public,empresas,nexotfe empresas update admin propria empresa,PERMISSIVE,{authenticated},UPDATE,((id = empresa_atual_id()) AND usuario_e_admin()),((id = empresa_atual_id()) AND usuario_e_admin())
public,estoque_movimentacoes,estoque_movimentacoes_delete_blocked,PERMISSIVE,{public},DELETE,false,
public,estoque_movimentacoes,estoque_movimentacoes_insert_tenant,PERMISSIVE,{public},INSERT,,(empresa_id = empresa_atual_id())
public,estoque_movimentacoes,estoque_movimentacoes_select_tenant,PERMISSIVE,{public},SELECT,(empresa_id = empresa_atual_id()),
public,estoque_movimentacoes,estoque_movimentacoes_update_blocked,PERMISSIVE,{public},UPDATE,false,
public,estoque_saldos,estoque_saldos_delete_blocked,PERMISSIVE,{public},DELETE,false,
public,estoque_saldos,estoque_saldos_insert_tenant,PERMISSIVE,{public},INSERT,,(empresa_id = empresa_atual_id())
public,estoque_saldos,estoque_saldos_select_tenant,PERMISSIVE,{public},SELECT,(empresa_id = empresa_atual_id()),
public,estoque_saldos,estoque_saldos_update_tenant,PERMISSIVE,{public},UPDATE,(empresa_id = empresa_atual_id()),(empresa_id = empresa_atual_id())
public,fornecedores,fornecedores_delete_blocked,PERMISSIVE,{public},DELETE,false,
public,fornecedores,fornecedores_insert_tenant,PERMISSIVE,{public},INSERT,,(empresa_id = empresa_atual_id())
public,fornecedores,fornecedores_select_tenant,PERMISSIVE,{public},SELECT,((empresa_id = empresa_atual_id()) AND (ativo = true) AND (deleted_at IS NULL)),
public,fornecedores,fornecedores_update_tenant,PERMISSIVE,{public},UPDATE,((empresa_id = empresa_atual_id()) AND (ativo = true) AND (deleted_at IS NULL)),(empresa_id = empresa_atual_id())
public,funcionarios,nexotfe funcionarios delete admin mesma empresa,PERMISSIVE,{authenticated},DELETE,((empresa_id = empresa_atual_id()) AND usuario_e_admin()),
public,funcionarios,nexotfe funcionarios insert mesma empresa,PERMISSIVE,{authenticated},INSERT,,((empresa_id = empresa_atual_id()) AND (created_by = auth.uid()))
public,funcionarios,nexotfe funcionarios select mesma empresa,PERMISSIVE,{authenticated},SELECT,(empresa_id = empresa_atual_id()),
public,funcionarios,nexotfe funcionarios update mesma empresa,PERMISSIVE,{authenticated},UPDATE,((empresa_id = empresa_atual_id()) AND ((created_by = auth.uid()) OR usuario_e_admin())),((empresa_id = empresa_atual_id()) AND ((created_by = auth.uid()) OR usuario_e_admin()))
public,grupos_recursos,Authenticated users can view grupos,PERMISSIVE,{authenticated},SELECT,true,
public,grupos_recursos,admins excluem grupos recursos,PERMISSIVE,{authenticated},DELETE,usuario_e_admin(),
public,grupos_recursos,nexotfe grupos recursos select autenticado,PERMISSIVE,{authenticated},SELECT,true,
public,grupos_recursos,nexotfe grupos recursos update criador ou admin,PERMISSIVE,{authenticated},UPDATE,((created_by = auth.uid()) OR usuario_e_admin()),((created_by = auth.uid()) OR usuario_e_admin())
public,grupos_recursos,usuarios autenticados criam grupos recursos,PERMISSIVE,{authenticated},INSERT,,(created_by = auth.uid())
public,grupos_recursos,usuarios autenticados visualizam grupos recursos,PERMISSIVE,{authenticated},SELECT,true,
public,itens_industriais,nexotfe itens delete admin mesma empresa,PERMISSIVE,{authenticated},DELETE,((empresa_id = empresa_atual_id()) AND usuario_e_admin()),
public,itens_industriais,nexotfe itens insert mesma empresa,PERMISSIVE,{authenticated},INSERT,,((empresa_id = empresa_atual_id()) AND (created_by = auth.uid()))
public,itens_industriais,nexotfe itens select mesma empresa,PERMISSIVE,{authenticated},SELECT,(empresa_id = empresa_atual_id()),
public,itens_industriais,nexotfe itens update mesma empresa,PERMISSIVE,{authenticated},UPDATE,((empresa_id = empresa_atual_id()) AND ((created_by = auth.uid()) OR usuario_e_admin())),((empresa_id = empresa_atual_id()) AND ((created_by = auth.uid()) OR usuario_e_admin()))
public,materias_primas,materias_primas_delete_blocked,PERMISSIVE,{public},DELETE,false,
