schema_name,table_name,trigger_name,enabled,definition
public,clientes,clientes_set_updated_at,O,CREATE TRIGGER clientes_set_updated_at BEFORE UPDATE ON clientes FOR EACH ROW EXECUTE FUNCTION set_updated_at()
public,consumos_internos,set_consumos_internos_updated_at,O,CREATE TRIGGER set_consumos_internos_updated_at BEFORE UPDATE ON consumos_internos FOR EACH ROW EXECUTE FUNCTION set_updated_at()
public,credenciais,credenciais_set_atualizado_em,O,CREATE TRIGGER credenciais_set_atualizado_em BEFORE UPDATE ON credenciais FOR EACH ROW EXECUTE FUNCTION set_atualizado_em()
public,empresas,empresas_preparar_saas,O,"CREATE TRIGGER empresas_preparar_saas BEFORE INSERT OR UPDATE OF codigo, nome, slug, plano ON empresas FOR EACH ROW EXECUTE FUNCTION preparar_empresa_saas()"
public,estoque_saldos,set_estoque_saldos_updated_at,O,CREATE TRIGGER set_estoque_saldos_updated_at BEFORE UPDATE ON estoque_saldos FOR EACH ROW EXECUTE FUNCTION set_updated_at()
public,fornecedores,set_fornecedores_updated_at,O,CREATE TRIGGER set_fornecedores_updated_at BEFORE UPDATE ON fornecedores FOR EACH ROW EXECUTE FUNCTION set_updated_at()
public,funcionarios,funcionarios_set_empresa_id,O,CREATE TRIGGER funcionarios_set_empresa_id BEFORE INSERT ON funcionarios FOR EACH ROW EXECUTE FUNCTION set_empresa_id_from_usuario()
public,funcionarios,funcionarios_set_updated_at,O,CREATE TRIGGER funcionarios_set_updated_at BEFORE UPDATE ON funcionarios FOR EACH ROW EXECUTE FUNCTION set_updated_at()
public,grupos_recursos,grupos_recursos_set_updated_at,O,CREATE TRIGGER grupos_recursos_set_updated_at BEFORE UPDATE ON grupos_recursos FOR EACH ROW EXECUTE FUNCTION set_updated_at()
public,itens_industriais,itens_industriais_set_empresa_id,O,CREATE TRIGGER itens_industriais_set_empresa_id BEFORE INSERT ON itens_industriais FOR EACH ROW EXECUTE FUNCTION set_empresa_id_from_usuario()
public,itens_industriais,itens_industriais_set_updated_at,O,CREATE TRIGGER itens_industriais_set_updated_at BEFORE UPDATE ON itens_industriais FOR EACH ROW EXECUTE FUNCTION set_updated_at()
public,materias_primas,set_materias_primas_updated_at,O,CREATE TRIGGER set_materias_primas_updated_at BEFORE UPDATE ON materias_primas FOR EACH ROW EXECUTE FUNCTION set_updated_at()
public,movimentacoes_estoque,movimentacoes_estoque_set_empresa_id,O,CREATE TRIGGER movimentacoes_estoque_set_empresa_id BEFORE INSERT ON movimentacoes_estoque FOR EACH ROW EXECUTE FUNCTION set_empresa_id_from_usuario()
public,movimentacoes_estoque,movimentacoes_estoque_set_updated_at,O,CREATE TRIGGER movimentacoes_estoque_set_updated_at BEFORE UPDATE ON movimentacoes_estoque FOR EACH ROW EXECUTE FUNCTION set_updated_at()
public,movimentacoes_estoque,movimentacoes_estoque_validar_item,O,CREATE TRIGGER movimentacoes_estoque_validar_item BEFORE INSERT OR UPDATE ON movimentacoes_estoque FOR EACH ROW EXECUTE FUNCTION validar_movimentacao_estoque()
public,numeracao_configuracoes,set_numeracao_configuracoes_updated_at,O,CREATE TRIGGER set_numeracao_configuracoes_updated_at BEFORE UPDATE ON numeracao_configuracoes FOR EACH ROW EXECUTE FUNCTION set_updated_at()
public,ordens_fabricacao,set_ordem_fabricacao_numero,O,CREATE TRIGGER set_ordem_fabricacao_numero BEFORE INSERT ON ordens_fabricacao FOR EACH ROW EXECUTE FUNCTION set_ordem_fabricacao_numero()
public,ordens_fabricacao,set_ordens_fabricacao_updated_at,O,CREATE TRIGGER set_ordens_fabricacao_updated_at BEFORE UPDATE ON ordens_fabricacao FOR EACH ROW EXECUTE FUNCTION set_updated_at()
public,pedidos_compra,set_pedidos_compra_updated_at,O,CREATE TRIGGER set_pedidos_compra_updated_at BEFORE UPDATE ON pedidos_compra FOR EACH ROW EXECUTE FUNCTION set_updated_at()
public,planejamentos_compra,set_planejamentos_compra_updated_at,O,CREATE TRIGGER set_planejamentos_compra_updated_at BEFORE UPDATE ON planejamentos_compra FOR EACH ROW EXECUTE FUNCTION set_updated_at()
public,producao_configuracoes,set_producao_configuracoes_updated_at,O,CREATE TRIGGER set_producao_configuracoes_updated_at BEFORE UPDATE ON producao_configuracoes FOR EACH ROW EXECUTE FUNCTION set_updated_at()
public,projeto_itens,set_projeto_itens_updated_at,O,CREATE TRIGGER set_projeto_itens_updated_at BEFORE UPDATE ON projeto_itens FOR EACH ROW EXECUTE FUNCTION set_updated_at()
public,projetos,set_projetos_updated_at,O,CREATE TRIGGER set_projetos_updated_at BEFORE UPDATE ON projetos FOR EACH ROW EXECUTE FUNCTION set_updated_at()
public,recursos_produtivos,recursos_produtivos_set_updated_at,O,CREATE TRIGGER recursos_produtivos_set_updated_at BEFORE UPDATE ON recursos_produtivos FOR EACH ROW EXECUTE FUNCTION set_updated_at()
public,requisicao_compra_itens,set_requisicao_compra_itens_updated_at,O,CREATE TRIGGER set_requisicao_compra_itens_updated_at BEFORE UPDATE ON requisicao_compra_itens FOR EACH ROW EXECUTE FUNCTION set_updated_at()
public,requisicoes_compra,set_requisicoes_compra_updated_at,O,CREATE TRIGGER set_requisicoes_compra_updated_at BEFORE UPDATE ON requisicoes_compra FOR EACH ROW EXECUTE FUNCTION set_updated_at()
public,tecnologias_aplicadas,tecnologias_aplicadas_set_empresa_id,O,CREATE TRIGGER tecnologias_aplicadas_set_empresa_id BEFORE INSERT ON tecnologias_aplicadas FOR EACH ROW EXECUTE FUNCTION set_empresa_id_from_usuario()
public,tecnologias_aplicadas,tecnologias_aplicadas_set_updated_at,O,CREATE TRIGGER tecnologias_aplicadas_set_updated_at BEFORE UPDATE ON tecnologias_aplicadas FOR EACH ROW EXECUTE FUNCTION set_updated_at()
public,usuarios,usuarios_set_atualizado_em,O,CREATE TRIGGER usuarios_set_atualizado_em BEFORE UPDATE ON usuarios FOR EACH ROW EXECUTE FUNCTION set_atualizado_em()
