"tipo_objeto","objeto","tabela","classificacao","destino_ou_acao","justificativa"
"policy","clientes.admins podem editar clientes","clientes","SUBSTITUIR","policy RLS reconstruída","Toda policy existente será retirada; o baseline aplicará tenant, papel e operação a partir de public.usuarios"
"policy","clientes.admins podem excluir clientes","clientes","SUBSTITUIR","policy RLS reconstruída","Toda policy existente será retirada; o baseline aplicará tenant, papel e operação a partir de public.usuarios"
"policy","clientes.usuarios autenticados podem criar clientes","clientes","SUBSTITUIR","policy RLS reconstruída","Toda policy existente será retirada; o baseline aplicará tenant, papel e operação a partir de public.usuarios"
"policy","clientes.usuarios autenticados podem visualizar clientes","clientes","SUBSTITUIR","policy RLS reconstruída","Toda policy existente será retirada; o baseline aplicará tenant, papel e operação a partir de public.usuarios"
"policy","consumos_internos.consumos_internos_delete_blocked","consumos_internos","SUBSTITUIR","policy RLS reconstruída","Toda policy existente será retirada; o baseline aplicará tenant, papel e operação a partir de public.usuarios"
"policy","consumos_internos.consumos_internos_insert_tenant","consumos_internos","SUBSTITUIR","policy RLS reconstruída","Toda policy existente será retirada; o baseline aplicará tenant, papel e operação a partir de public.usuarios"
"policy","consumos_internos.consumos_internos_select_tenant","consumos_internos","SUBSTITUIR","policy RLS reconstruída","Toda policy existente será retirada; o baseline aplicará tenant, papel e operação a partir de public.usuarios"
"policy","consumos_internos.consumos_internos_update_tenant","consumos_internos","SUBSTITUIR","policy RLS reconstruída","Toda policy existente será retirada; o baseline aplicará tenant, papel e operação a partir de public.usuarios"
"policy","credenciais.Usuarios atualizam suas credenciais","credenciais","REMOVER","eliminar com a tabela","Toda policy existente será retirada; o baseline aplicará tenant, papel e operação a partir de public.usuarios"
"policy","credenciais.Usuarios criam credenciais para si","credenciais","REMOVER","eliminar com a tabela","Toda policy existente será retirada; o baseline aplicará tenant, papel e operação a partir de public.usuarios"
"policy","credenciais.Usuarios removem suas credenciais","credenciais","REMOVER","eliminar com a tabela","Toda policy existente será retirada; o baseline aplicará tenant, papel e operação a partir de public.usuarios"
"policy","credenciais.Usuarios veem credenciais sob responsabilidade","credenciais","REMOVER","eliminar com a tabela","Toda policy existente será retirada; o baseline aplicará tenant, papel e operação a partir de public.usuarios"
"policy","empresas.nexotfe empresas select propria empresa","empresas","SUBSTITUIR","policy RLS reconstruída","Toda policy existente será retirada; o baseline aplicará tenant, papel e operação a partir de public.usuarios"
"policy","empresas.nexotfe empresas update admin propria empresa","empresas","SUBSTITUIR","policy RLS reconstruída","Toda policy existente será retirada; o baseline aplicará tenant, papel e operação a partir de public.usuarios"
"policy","estoque_movimentacoes.estoque_movimentacoes_delete_blocked","estoque_movimentacoes","SUBSTITUIR","policy RLS reconstruída","Toda policy existente será retirada; o baseline aplicará tenant, papel e operação a partir de public.usuarios"
"policy","estoque_movimentacoes.estoque_movimentacoes_insert_tenant","estoque_movimentacoes","SUBSTITUIR","policy RLS reconstruída","Toda policy existente será retirada; o baseline aplicará tenant, papel e operação a partir de public.usuarios"
"policy","estoque_movimentacoes.estoque_movimentacoes_select_tenant","estoque_movimentacoes","SUBSTITUIR","policy RLS reconstruída","Toda policy existente será retirada; o baseline aplicará tenant, papel e operação a partir de public.usuarios"
"policy","estoque_movimentacoes.estoque_movimentacoes_update_blocked","estoque_movimentacoes","SUBSTITUIR","policy RLS reconstruída","Toda policy existente será retirada; o baseline aplicará tenant, papel e operação a partir de public.usuarios"
"policy","estoque_saldos.estoque_saldos_delete_blocked","estoque_saldos","SUBSTITUIR","policy RLS reconstruída","Toda policy existente será retirada; o baseline aplicará tenant, papel e operação a partir de public.usuarios"
"policy","estoque_saldos.estoque_saldos_insert_tenant","estoque_saldos","SUBSTITUIR","policy RLS reconstruída","Toda policy existente será retirada; o baseline aplicará tenant, papel e operação a partir de public.usuarios"
"policy","estoque_saldos.estoque_saldos_select_tenant","estoque_saldos","SUBSTITUIR","policy RLS reconstruída","Toda policy existente será retirada; o baseline aplicará tenant, papel e operação a partir de public.usuarios"
"policy","estoque_saldos.estoque_saldos_update_tenant","estoque_saldos","SUBSTITUIR","policy RLS reconstruída","Toda policy existente será retirada; o baseline aplicará tenant, papel e operação a partir de public.usuarios"
"policy","fornecedores.fornecedores_delete_blocked","fornecedores","SUBSTITUIR","policy RLS reconstruída","Toda policy existente será retirada; o baseline aplicará tenant, papel e operação a partir de public.usuarios"
